7155	Dark City	tt0042379	1950
7165	The Million Dollar Duck	tt0066728	1971
6016	Modern Romance	tt0082764	1981
6026	An American Werewolf in London	tt0082010	1981
6036	Exit	tt0178655	2000
6046	La vida conyugal	tt0108487	1993
6056	Has Anybody Seen My Gal	tt0043873	1952
6066	Sid and Nancy	tt0091954	1986
6076	Crackers	tt0087096	1984
6086	Eureka	tt0083906	1983
6096	Savage Messiah	tt0069225	1972
6106	Five Days One Summer	tt0083947	1982
6116	Aces High	tt0075627	1976
6126	Protocol	tt0087951	1984
6136	Bad Boys	tt0085210	1983
6146	Two Left Feet	tt0057610	1965
6156	Watch it, Sailor!	tt0055613	1961
6166	Animal House	tt0077975	1978
6176	River's Edge	tt0091860	1986
6186	The Hostage	tt0061782	1967
6196	They Who Dare	tt0046421	1954
6206	Revenge of the Cheerleaders	tt0075137	1976
6216	Juke Box Racket	tt0053972	1960
6226	Going Home	tt0067146	1971
6236	The Clock	tt0037604	1945
6246	The Liberation of L.B. Jones	tt0065979	1970
6256	Raging Bull	tt0081398	1980
6266	Miracles	tt0091524	1986
6276	Top Line	tt0096287	1988
6286	Rad	tt0091817	1986
6296	Timerider: The Adventure of Lyle Swann	tt0086443	1982
6306	Blade	tt0069797	1973
6316	Raintree County	tt0050882	1957
6326	The World of Hans Christian Andersen	tt0067179	1971
6336	Crime in the Streets	tt0049107	1956
6346	Service Entrance	tt0046960	1954
6356	Red Sky at Morning	tt0067659	1971
6366	The Big Sleep	tt0038355	1946
6376	Unhook the Stars	tt0118044	1996
6386	Plunkett & Macleane	tt0134033	1999
6396	Mautplatz	tt0110477	1994
6406	The Bunny Caper	tt0071255	1974
6416	Chastity	tt0064156	1969
6426	Only You	tt0110737	1994
6436	Jumpin' at the Boneyard	tt0102174	1991
6446	Gräsänklingar	tt0084034	1982
6456	None Shall Escape	tt0037136	1944
6466	The White Huntress	tt0051190	1954
6476	The Life of Stuff	tt0119536	1997
6486	Empire of the Sun	tt0092965	1987
6496	Small Faces	tt0114474	1996
6506	The Gods Must Be Crazy	tt0080801	1980
6516	Map of the Human Heart	tt0104812	1992
6526	Eyes of Laura Mars	tt0077530	1978
6536	December Bride	tt0099389	1991
6546	Légitime violence	tt0084281	1982
6556	Last Summer	tt0064573	1969
6566	Heat-Haze Theatre	tt0082596	1981
6576	Burst City	tt0083609	1982
6586	Koi to Taiyo to Gang	tt0056149	1962
6596	Tonkô	tt0095071	1988
6606	Lancelot of the Lake	tt0071737	1974
6616	The First Deadly Sin	tt0080738	1980
6626	Richard's Things	tt0082993	1980
6636	The Last Word	tt0079442	1979
6646	Odyssey: The Ultimate Trip	tt0076487	1977
6656	School Spirit	tt0089974	1985
6666	Tomorrow	tt0069393	1972
6676	Story of a Love Affair	tt0042355	1950
6686	Détruire dit-elle	tt0064272	1969
6696	The Fat Man	tt0043523	1951
6706	The Karate Kid	tt0087538	1984
6716	Less Than Zero	tt0093407	1987
6726	Who'll Stop the Rain	tt0078490	1978
6736	The Young Lovers	tt0058763	1964
6746	Kapò	tt0052961	1960
6756	Best Defense	tt0086955	1984
6766	Great Expectations	tt0119223	1998
6776	Farendj	tt0099547	1990
6786	The Color of Money	tt0090863	1986
6796	Hurricane Streets	tt0119338	1997
6806	Solomon & Gaenor	tt0181830	1999
6816	Airborne	tt0106233	1993
6826	The Night We Never Met	tt0107685	1993
6836	A Dream of Freedom	tt0062911	1969
6846	In the Wake of the Bounty	tt0024176	1933
6856	Broken Blossoms	tt0027400	1936
6866	The Dark Tower	tt0034636	1943
6876	A Canterbury Tale	tt0036695	1944
6886	Green Grow the Rushes	tt0043601	1951
6896	End of the Trail	tt0027573	1936
6906	I Lived with You	tt0024157	1933
6916	Magnificent Obsession	tt0026667	1935
6926	Hot Saturday	tt0023028	1932
6936	Alaska Patrol	tt0041104	1949
6946	Operation Diplomat	tt0046147	1953
6956	Night of the Prowler	tt0056280	1962
6966	The Happiest Days of Your Life	tt0042541	1950
6976	Postmark for Danger	tt0048507	1955
6986	A Fire Has Been Arranged	tt0026359	1935
6996	Quiet Weekend	tt0039745	1946
7006	The Plastic Dome of Norma Jean	tt0059605	1966
7016	Twice a Man	tt0129470	1964
7026	Curse of the Headless Horseman	tt0068438	1972
7036	The Coin	tt0051676	1959
7046	Fearless Frank	tt0061654	1967
7056	A French Mistress	tt0053839	1960
7066	Beast from Haunted Cave	tt0052609	1959
7076	Campo Bravo	tt0040205	1948
7086	Happy Days	tt0026103	1935
7096	Inside the Walls of Folsom Prison	tt0043677	1951
7106	New Toys	tt0015172	1925
7116	Retreat, Hell!	tt0045082	1952
7126	Six Bridges to Cross	tt0048628	1955
7136	Smoke Tree Range	tt0029582	1937
7146	Dick Barton Strikes Back	tt0041296	1949
7156	Julius Caesar	tt0042622	1950
7166	Star Spangled Girl	tt0067787	1971
6017	The Double McGuffin	tt0079070	1979
6027	Almost You	tt0086876	1985
6037	Écoute voir...	tt0078549	1979
6047	'Til Death	tt0109995	1994
6057	Gardens of Stone	tt0093073	1987
6067	Prick Up Your Ears	tt0093776	1987
6077	Nice Girls Don't Explode	tt0093617	1987
6087	The Swinging Cheerleaders	tt0072236	1974
6097	Hamlet	tt0074603	1976
6107	The Lion of Amalfi	tt0042673	1950
6117	Equus	tt0075995	1977
6127	The Linguini Incident	tt0102313	1991
6137	Candyman: Farewell to the Flesh	tt0112625	1995
6147	The Lion in Winter	tt0063227	1968
6157	Jungle Fighters	tt0054037	1961
6167	1941	tt0078723	1979
6177	Crime and Punishment	tt0096056	2002
6187	Cisco Pike	tt0068384	1972
6197	Hawaii	tt0060491	1966
6207	Chesty Anderson U.S. Navy	tt0074308	1976
6217	Faces	tt0062952	1968
6227	The Mechanic	tt0068931	1972
6237	The Desperate Man	tt0052730	1959
6247	Defiance	tt0080605	1980
6257	Neighbors	tt0082801	1981
6267	The Whoopee Boys	tt0092210	1986
6277	Born to Fight	tt0096970	1989
6287	Rush It	tt0075157	1978
6297	Runaway Train	tt0089941	1985
6307	Rich Kids	tt0079806	1979
6317	It Grows on Trees	tt0044758	1952
6327	The Projectionist	tt0067622	1971
6337	Affair in Havana	tt0050103	1957
6347	The Indian Fighter	tt0048204	1955
6357	Billy Two Hats	tt0069786	1974
6367	Léon: The Professional	tt0110413	1994
6377	Madison	tt0206113	2001
6387	An Angel at My Table	tt0099040	1990
6397	Autumn Blossoms	tt0225115	1999
6407	Rawhead Rex	tt0091829	1986
6417	Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean	tt0083745	1982
6427	The Thin Red Line	tt0120863	1998
6437	White Sands	tt0105813	1992
6447	John Halifax	tt0030176	1938
6457	All the Brothers Were Valiant	tt0045494	1953
6467	Dreaming	tt0036778	1944
6477	Heavenly Creatures	tt0110005	1994
6487	Twisted Obsession	tt0098407	1989
6497	The Debt Collector	tt0159401	1999
6507	Fools	tt0123075	1997
6517	Dragon: The Bruce Lee Story	tt0106770	1993
