24770	nm0372384	tt0026742	{"Mac O'Neill"}
24780	nm0398139	tt0026903	{"David Worth","Frank Worth"}
24790	nm0946410	tt0027037	{"Mrs. Lee"}
24800	nm0402554	tt0027253	{"Claire Patterson"}
24810	nm0338672	tt0027370	{"Vivki Sheridan"}
24820	nm0086684	tt0027483	{"Sgt. Webster"}
24830	nm0392442	tt0027573	{"Dale Brittenham"}
24840	nm0314065	tt0027741	{"Martin Cloam"}
24850	nm0517099	tt0028071	{"County Inspector Hanney"}
24860	nm0377909	tt0028543	{"Elizabeth Carter"}
24870	nm0401319	tt0029059	{Willie}
24880	nm0936755	tt0029103	{"Fanny Worthington"}
24890	nm0427659	tt0029582	{"Lee Cary"}
24900	nm0528705	tt0030149	{"Felix Deitz"}
24910	nm0942621	tt0030749	{"Mrs. Deeping"}
24920	nm0700711	tt0031103	{"Terry Walsh"}
24930	nm0019922	tt0031368	{"Leonora Barradine"}
24940	nm0606998	tt0032207	{"Mac McClure"}
24950	nm0745879	tt0032713	{"Bunty Woolcot"}
24960	nm0262647	tt0033493	{"William Penn"}
24970	nm0914071	tt0033658	{Daisy}
24980	nm0138791	tt0033853	{"Mr. Hardcastle"}
24990	nm0000064	tt0034162	{"'Wolf' Larsen"}
25000	nm0675095	tt0034181	{"Francis Miller"}
25010	nm0000859	tt0034680	{"Dr. Leonard Gillespie"}
25020	nm0008576	tt0035302	\N
25030	nm0186968	tt0035574	{"Tom Farwood"}
25040	nm0485518	tt0035726	{"Insp. John Farraday"}
25050	nm0000051	tt0036135	{"Lord Rohan"}
25060	nm0259816	tt0036623	{"Malcolm Curtis"}
25070	nm0752787	tt0036710	{"Peggy Flaherty"}
25080	nm0001637	tt0036803	{"Pvt. Francis Marion"}
25090	nm0490224	tt0036955	{"Lt. Daniel Ferguson"}
25100	nm0001637	tt0037008	{"Shelby Carpenter"}
25110	nm0461594	tt0037136	{"Wilhelm Grimm"}
25120	nm0593372	tt0037256	{"Uncle George"}
25130	nm0002022	tt0037467	{Helen}
25140	nm0595340	tt0037585	{Athos}
25150	nm0635887	tt0038283	{"Abie Levy"}
25160	nm0771696	tt0038447	{"Alexander Pough"}
25170	nm0914453	tt0038663	{"John Aynesworth"}
25180	nm0113184	tt0038722	{"Dist. Atty. Darrell Tyson"}
25190	nm0805389	tt0038812	{Othello}
25200	nm0089590	tt0038966	{Phyllis}
25210	nm0121819	tt0039049	{"Betty Todd"}
25220	nm0317519	tt0039160	{"Anne Parkson"}
25230	nm0692439	tt0039304	{Eddie}
25240	nm0394051	tt0039478	{"Mrs. Kirby"}
25250	nm0336931	tt0039611	{"Sarah Bonheur"}
25260	nm0281766	tt0039689	{"Meta Carson"}
25270	nm0713095	tt0039984	{"Sally Grant"}
25280	nm0617634	tt0040205	\N
25290	nm0715582	tt0040273	{Dan}
25300	nm0550552	tt0040365	{"Jerry Burns"}
25310	nm0001207	tt0040491	{"The Dauphin"}
25320	nm0336607	tt0040551	{"Brenda Lawrence"}
25330	nm0002118	tt0040628	{Dugan}
24521	nm0393028	tt0020982	{Grandt}
24531	nm0210116	tt0021419	{Phillip}
24541	nm0872454	tt0021598	{"Hercule Poirot"}
24551	nm0178325	tt0021669	{"Captain Hastings"}
24561	nm0151377	tt0021978	{"Ruth Evans"}
24571	nm0507517	tt0022439	{"John Brent"}
24581	nm0599766	tt0022550	{"Roy Cronin"}
24591	nm0601129	tt0022698	{"Johnny Faraday"}
24601	nm0000026	tt0023028	{"Romer Sheffield"}
24611	nm0358723	tt0023845	{"Pearl Bolton"}
24621	nm0590055	tt0024015	{"Johnnie Penrose"}
24631	nm0822613	tt0024054	{"Albert Sims"}
24641	nm0061350	tt0024118	{Tom}
24651	nm0001224	tt0024176	{"Fletcher Christian"}
24661	nm0795212	tt0024319	{"Joan Lynton"}
24671	nm0294094	tt0024714	{"Freddie Wallace"}
24681	nm0674788	tt0024912	{"Sir James Corrigan"}
24691	nm0758188	tt0025557	{"Emma Cortadel"}
24701	nm0930336	tt0025659	\N
24711	nm0122286	tt0025811	{"Patricia Belsize"}
